Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:631VhMm9eTviQ9wFQ8DD6h,"Santuario","Vacíos y Variables","Pyramides",2017-02-01,247904,10,false,ruffoj,2024-05-29T03:22:20Z,"post-punk,latin indie,cold wave,darkwave","Fuego Amigo Discos",0.591,0.615,0,-8.608,1,0.0268,0.739,0.474,0.197,0.378,115.992,4
spotify:track:6ZUKqusuMUkbv4AE3SY1RX,"Otra Vez Asustado","El Último Vecino","El Último Vecino",2013,192853,0,false,ruffoj,2024-05-29T03:22:31Z,"post-punk,darkwave,cold wave,latin indie","Club Social / Canada Editorial",0.617,0.833,5,-7.213,1,0.0308,0.00749,0.181,0.592,0.755,119.98,4
spotify:track:7jSkLGvsz7lxC7mTJ6NMLt,"Fogo","Rosa Profunda","Rosa Profunda",2019-06-28,275064,6,false,ruffoj,2024-05-30T05:42:18Z,"","Pleasurex Records",0.655,0.574,5,-8.606,1,0.0403,0.0522,0.613,0.132,0.295,154.049,4
spotify:track:26tlXGxnvTov1qHFmP7cNh,"Tu Mal","Miedo","Adicta",2003-02-10,233866,28,false,ruffoj,2024-05-31T19:40:06Z,"electropop,latin indie","Isopo Discos",0.64,0.839,3,-7.479,0,0.0296,0.0459,0.000103,0.156,0.51,131.992,4
spotify:track:3R0pPuGIrM9J4Sa32xlcJS,"Cemento","Días de Guerra","Revistas,Corvex",2024-05-31,159288,16,false,ruffoj,2024-06-04T00:06:09Z,"argentine rock","Revistas",0.528,0.904,10,-4.827,0,0.033,0.00218,0.00000108,0.237,0.465,143.947,4
spotify:track:5dTHtzHFPyi8TlTtzoz1J9,"Helena","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,204733,82,false,ruffoj,2024-06-05T20:03:32Z,"emo,pop punk","Reprise",0.356,0.96,4,-3.487,1,0.104,0.0142,0,0.209,0.0857,125.921,4
spotify:track:0t5gjj7D9Pn1Rm1whKEHF3,"Desaparecer en el Gris","Vacíos y Variables","Pyramides",2017-02-01,252124,12,false,ruffoj,2024-06-05T20:04:32Z,"post-punk,latin indie,cold wave,darkwave","Fuego Amigo Discos",0.542,0.751,8,-7.371,1,0.0284,0.675,0.151,0.103,0.349,144.035,4
spotify:track:15dUwshJj4q11SNgyPqReS,"Contraluz","Lo Más Cercano a Caer","Nenagenix",2023-05-26,257833,32,false,ruffoj,2024-06-06T22:40:30Z,"shoegaze","Bohemian Groove",0.311,0.734,10,-8.6,1,0.0409,0.0196,0.122,0.113,0.37,76.505,4
spotify:track:1ZLtE9tSJdaUiIJ9YoKHQe,"Decode","Decode","Paramore",2008-11-04,261959,78,false,ruffoj,2024-06-06T22:40:51Z,"pop punk,emo","Atlantic Records",0.28,0.87,10,-4.219,0,0.0592,0.000686,0.00608,0.101,0.284,164.057,4
spotify:track:2mUN7g0NL3V7qurP7n36jU,"Tanques De Guerra","DESTRUYA!","Buenos Vampiros",2022-07-01,164494,22,false,ruffoj,2024-06-06T22:41:12Z,"post-punk","Casa del Puente Discos",0.34,0.935,3,-4.048,1,0.11,0.00772,0.923,0.289,0.272,146.763,4
spotify:track:5M5qILMMdI8v2iHsP16aXB,"Lo que quise saber","RIQUI","El Último Vecino,Xenia",2024-04-19,154124,22,false,ruffoj,2024-06-07T04:07:58Z,"post-punk,darkwave,cold wave,latin indie","Helsinkipro",0.584,0.873,8,-5.778,1,0.0443,0.000243,0.649,0.101,0.797,164.897,4
spotify:track:41DwjI3nVWqSEN1YoNhx8a,"Cambiame Por Calma","Ciudadano Toto","Ciudadano Toto",2003-03-10,279373,9,false,ruffoj,2024-06-07T04:08:03Z,"electropop,synthpop","Isopo Discos",0.747,0.657,3,-7.718,0,0.0265,0.266,0.00404,0.107,0.729,116.018,4
spotify:track:0DUJYfKxzOLhwFBwIl4Ojn,"Beskar","Beskar","Rosa Profunda",2024-06-07,238399,2,false,ruffoj,2024-06-08T18:30:47Z,"","Rosa Profunda",0.558,0.677,2,-7.482,1,0.0307,0.00184,0.829,0.125,0.383,130.07,4
spotify:track:1hbWtHgRDG25DkmxE4I28V,"Puedes Contar Conmigo","Lo Que Te Conte Mientras Te Hacias La Dormida","La Oreja de Van Gogh",2003,236786,72,false,ruffoj,2024-06-08T18:30:51Z,"latin pop","Columbia",0.651,0.894,6,-4.843,1,0.0317,0.0706,0,0.13,0.561,144.95,4
spotify:track:3PRGcLvFKBGcG5LMer7rn7,"All About Us","Dangerous and Moving","t.A.T.u.",2005-01-01,180960,63,false,ruffoj,2024-06-11T18:17:00Z,"","Interscope",0.492,0.888,7,-4.631,0,0.0343,0.426,0.00000256,0.316,0.793,162.137,4
spotify:track:37ZJ0p5Jm13JPevGcx4SkF,"Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-08-16,249293,84,false,ruffoj,2024-06-12T14:54:19Z,"glam metal,rock","Island Records",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,4
